theme,title,legal_status,page_url,pdf_path,status
Trabalho,"Portaria n.º 171/2025/1 - Diário da República n.º 71/2025, Série I de 2025-04-10",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2025-914632153,data\raw_pdfs\trabalho\02_portaria_n.º_17120251_-_diário_da_república_n.º_712025_série_i_de_2025-04-10.pdf,downloaded
Trabalho,"Portaria n.º 21/2023 - Diário da República n.º 5/2023, Série I de 2023-01-06",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2023-836210981,data\raw_pdfs\trabalho\03_portaria_n.º_212023_-_diário_da_república_n.º_52023_série_i_de_2023-01-06.pdf,downloaded
Trabalho,"Decreto-Lei n.º 133/2023 - Diário da República n.º 249/2023, Série I de 2023-12-28",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2023-835810359,data\raw_pdfs\trabalho\04_decreto-lei_n.º_1332023_-_diário_da_república_n.º_2492023_série_i_de_2023-12-28.pdf,downloaded
Trabalho,"Portaria n.º 7/2022 - Diário da República n.º 2/2022, Série I de 2022-01-04",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2022-177088832,data\raw_pdfs\trabalho\05_portaria_n.º_72022_-_diário_da_república_n.º_22022_série_i_de_2022-01-04.pdf,downloaded
Trabalho,"Resolução da Assembleia Legislativa da Região Autónoma da Madeira n.º 10/2022/M - Diário da República n.º 107/2022, Série I de 2022-06-02",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2022-185189788,data\raw_pdfs\trabalho\06_resolução_da_assembleia_legislativa_da_região_autónoma_da_madeira_n.º_102022m_-_diário_da_república_n.º_1072022_série_i.pdf,downloaded
Trabalho,"Decreto-Lei n.º 84-F/2022 - Diário da República n.º 241/2022, 1º Suplemento, Série I de 2022-12-16",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2022-204953829,data\raw_pdfs\trabalho\07_decreto-lei_n.º_84-f2022_-_diário_da_república_n.º_2412022_1º_suplemento_série_i_de_2022-12-16.pdf,downloaded
Trabalho,"Portaria n.º 100-A/2021 - Diário da República n.º 91/2021, 1º Suplemento, Série I de 2021-05-11",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2021-163158863,data\raw_pdfs\trabalho\08_portaria_n.º_100-a2021_-_diário_da_república_n.º_912021_1º_suplemento_série_i_de_2021-05-11.pdf,downloaded
Trabalho,"Portaria n.º 82-C/2020 - Diário da República n.º 64/2020, 2º Suplemento, Série I de 2020-03-31",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2020-136909463,data\raw_pdfs\trabalho\09_portaria_n.º_82-c2020_-_diário_da_república_n.º_642020_2º_suplemento_série_i_de_2020-03-31.pdf,downloaded
Trabalho,"Decreto-Lei n.º 106/2017 - Diário da República n.º 166/2017, Série I de 2017-08-29",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-108200081,data\raw_pdfs\trabalho\10_decreto-lei_n.º_1062017_-_diário_da_república_n.º_1662017_série_i_de_2017-08-29.pdf,downloaded
Trabalho,"Portaria n.º 131/2017 - Diário da República n.º 70/2017, Série I de 2017-04-07",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-106939286,,skipped_not_in_force
Trabalho,"Lei n.º 64/2017 - Diário da República n.º 151/2017, Série I de 2017-08-07",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-107970643,data\raw_pdfs\trabalho\12_lei_n.º_642017_-_diário_da_república_n.º_1512017_série_i_de_2017-08-07.pdf,downloaded
Trabalho,"Decreto-Lei n.º 111/2017 - Diário da República n.º 168/2017, Série I de 2017-08-31",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-119401087,data\raw_pdfs\trabalho\13_decreto-lei_n.º_1112017_-_diário_da_república_n.º_1682017_série_i_de_2017-08-31.pdf,downloaded
Trabalho,"Portaria n.º 105/2017 - Diário da República n.º 50/2017, Série I de 2017-03-10",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-114446881,data\raw_pdfs\trabalho\14_portaria_n.º_1052017_-_diário_da_república_n.º_502017_série_i_de_2017-03-10.pdf,downloaded
Trabalho,"Lei n.º 34/2016 - Diário da República n.º 162/2016, Série I de 2016-08-24",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2016-75204078,data\raw_pdfs\trabalho\15_lei_n.º_342016_-_diário_da_república_n.º_1622016_série_i_de_2016-08-24.pdf,downloaded
Trabalho,"Decreto-Lei n.º 101/2015 - Diário da República n.º 108/2015, Série I de 2015-06-04",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2015-105821479,data\raw_pdfs\trabalho\16_decreto-lei_n.º_1012015_-_diário_da_república_n.º_1082015_série_i_de_2015-06-04.pdf,downloaded
Trabalho,"Lei n.º 3/2015 - Diário da República n.º 6/2015, Série I de 2015-01-09",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2015-220256364,data\raw_pdfs\trabalho\17_lei_n.º_32015_-_diário_da_república_n.º_62015_série_i_de_2015-01-09.pdf,downloaded
